codigo,nombre,hombre_casos,hombre_porciento,mujer_casos,mujer_porciento,total_casos,total_porciento
54|261,El Zulia,1,22.66,3,72.31,4,46.71
54|405,Los Patios,7,58.7,4,34.16,11,46.54
54|498,Ocaña,5,30,2,12.65,7,21.56
54|518,Pamplona,8,89.69,9,102.25,17,95.93
54|52,Pamplonita,0,0,1,123.3,1,60.57
54|553,Puerto Santander,0,0,1,57.47,1,27.77
54|599,Ragonvalia,1,94.7,2,193.99,3,143.75
54|66,Salazar,0,0,1,63.78,1,31.08
54|673,San Cayetano,0,0,1,102.77,1,50.3
54|81,Tibú,4,48.88,4,53.16,8,50.93
54|874,Villa del Rosario,4,26.17,4,27.44,8,26.79
86,Putumayo,26,36.81,39,57.27,65,46.85
86|219,Colón,1,110.01,0,0,1,55.99
86|001,Mocoa,2,25.14,2,26.71,4,25.9
86|32,Orito,0,0,8,68.16,8,33.47
86|568,Puerto Asís,9,74.02,12,101.33,21,87.5
86|569,Puerto Caicedo,3,105.63,3,106.91,6,106.27
86|571,Puerto Guzmán,0,0,1,20.12,1,9.68
86|757,San Miguel,3,48.96,3,50.35,6,49.64
86|865,Valle del Guamuez,4,38.53,5,49.85,9,44.09
86|885,Villagarzón,4,97.09,5,122.85,9,109.89
63,Quindio,70,83.48,72,90,142,86.66
63|001,Armenia,51,122.04,41,101.51,92,111.95
63|111,Buenavista,0,0,1,250.63,1,121.07
63|13,Calarcá,9,75.96,13,117.11,22,95.86
63|19,Circasia,0,0,2,47.64,2,23.69
63|212,Córdoba,1,125.16,0,0,1,64.27
63|272,Filandia,1,47.21,2,99.4,3,72.64
63|401,La Tebaida,3,39.95,3,42.62,6,41.24
63|47,Montenegro,0,0,4,65.55,4,31.52
63|548,Pijao,1,108.93,0,0,1,55.99
63|594,Quimbaya,1,18.9,3,60.44,4,39
63|69,Salento,3,262.01,3,283.29,6,272.23
66,Risaralda,69,49.34,85,63.39,154,56.22
66|045,Apía,1,30.27,4,128.87,5,78.03
66|075,Balboa,0,0,1,102.35,1,50.1
66|088,Belén de Umbría,1,21.48,1,22.59,2,22.02
66|17,Dosquebradas,10,34.83,9,32.72,19,33.79
66|383,La Celia,1,69.98,0,0,1,36.15
